Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
80.000000	0.00226148	80.000000	0.00257112	80.000000	0.00256294	80.000000	0.00256037	80.000000	0.00257015	80.000000	9.72682e-07	
85.000000	0.00215952	85.000000	0.00245458	85.000000	0.00244645	85.000000	0.00244401	85.000000	0.00245366	85.000000	9.19903e-07	
90.000000	0.00206813	90.000000	0.0023503 	90.000000	0.00234219	90.000000	0.00233986	90.000000	0.00234943	90.000000	8.72749e-07	
95.000000	0.00198571	95.000000	0.00225644	95.000000	0.00224856	95.000000	0.00224606	95.000000	0.00225561	95.000000	8.30356e-07	
100.000000	0.00191096	100.000000	0.00217148	100.000000	0.00216353	100.000000	0.00216115	100.000000	0.00217069	100.000000	7.9203e-07	
105.000000	0.00184284	105.000000	0.00209422	105.000000	0.00208618	105.000000	0.00208389	105.000000	0.00209346	105.000000	7.57205e-07	
110.000000	0.00178049	110.000000	0.00202363	110.000000	0.00201547	110.000000	0.00201329	110.000000	0.0020229 	110.000000	7.25418e-07	
115.000000	0.00172318	115.000000	0.00195888	115.000000	0.00195077	115.000000	0.00194852	115.000000	0.00195819	115.000000	6.96284e-07	
120.000000	0.00167032	120.000000	0.00189928	120.000000	0.00189118	120.000000	0.00188888	120.000000	0.00189861	120.000000	6.69479e-07	
125.000000	0.00162138	125.000000	0.00184422	125.000000	0.00183597	125.000000	0.00183378	125.000000	0.00184357	125.000000	6.44731e-07	
130.000000	0.00157595	130.000000	0.0017932 	130.000000	0.00178484	130.000000	0.00178272	130.000000	0.00179258	130.000000	6.21811e-07	
135.000000	0.00153364	135.000000	0.00174579	135.000000	0.00173748	135.000000	0.00173527	135.000000	0.00174519	135.000000	6.00521e-07	
140.000000	0.00149414	140.000000	0.00170162	140.000000	0.00169328	140.000000	0.00169105	140.000000	0.00170104	140.000000	5.8069e-07	
145.000000	0.00145717	145.000000	0.00166036	145.000000	0.00165189	145.000000	0.00164975	145.000000	0.0016598 	145.000000	5.62172e-07	
150.000000	0.00142248	150.000000	0.00162174	150.000000	0.00161317	150.000000	0.00161109	150.000000	0.00162119	150.000000	5.44839e-07	
155.000000	0.00137364	155.000000	0.0015855 	155.000000	0.00157683	155.000000	0.00157481	155.000000	0.00158497	155.000000	5.2858e-07	
160.000000	0.00134502	160.000000	0.00155143	160.000000	0.00154271	160.000000	0.00154071	160.000000	0.00155092	160.000000	5.13296e-07	
165.000000	0.00131803	165.000000	0.00151935	165.000000	0.00151067	165.000000	0.0015086 	165.000000	0.00151885	165.000000	4.98902e-07	
170.000000	0.00129253	170.000000	0.00148908	170.000000	0.00148038	170.000000	0.0014783 	170.000000	0.00148859	170.000000	4.85321e-07	
175.000000	0.0012684 	175.000000	0.00146047	175.000000	0.00145169	175.000000	0.00144967	175.000000	0.00146   	175.000000	4.72486e-07	
180.000000	0.00124553	180.000000	0.00143339	180.000000	0.00142455	180.000000	0.00142258	180.000000	0.00143293	180.000000	4.60335e-07	
185.000000	0.00122383	185.000000	0.00140772	185.000000	0.00139882	185.000000	0.0013969 	185.000000	0.00140727	185.000000	4.48815e-07	
190.000000	0.00120321	190.000000	0.00138335	190.000000	0.0013744 	190.000000	0.00137252	190.000000	0.00138292	190.000000	4.37877e-07	
195.000000	0.00118358	195.000000	0.00136019	195.000000	0.00135124	195.000000	0.00134935	195.000000	0.00135976	195.000000	4.27479e-07	
