Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
220.000000	0.000274532	220.000000	0.000314922	220.000000	0.000312461	220.000000	0.000312212	220.000000	0.000314824	220.000000	9.88812e-08	
230.000000	0.00026722	230.000000	0.000306355	230.000000	0.000303894	230.000000	0.000303655	230.000000	0.00030626	230.000000	9.48826e-08	
240.000000	0.000260485	240.000000	0.000298481	240.000000	0.000296027	240.000000	0.000295794	240.000000	0.00029839	240.000000	9.1205e-08	
250.000000	0.000254263	250.000000	0.000291221	250.000000	0.000288776	250.000000	0.00028855	250.000000	0.000291134	250.000000	8.78108e-08	
260.000000	0.000248497	260.000000	0.000284506	260.000000	0.000282073	260.000000	0.000281853	260.000000	0.000284422	260.000000	8.46681e-08	
270.000000	0.000243137	270.000000	0.000278278	270.000000	0.000275859	270.000000	0.000275644	270.000000	0.000278196	270.000000	8.17497e-08	
280.000000	0.000238143	280.000000	0.000272485	280.000000	0.000270083	280.000000	0.000269873	280.000000	0.000272406	280.000000	7.90321e-08	
290.000000	0.000233478	290.000000	0.000267084	290.000000	0.000264698	290.000000	0.000264496	290.000000	0.000267008	290.000000	7.64951e-08	
300.000000	0.000229111	300.000000	0.000262038	300.000000	0.000259686	300.000000	0.000259475	300.000000	0.000261964	300.000000	7.4121e-08	
310.000000	0.000225015	310.000000	0.000257313	310.000000	0.000255001	310.000000	0.000254776	310.000000	0.000257241	310.000000	7.18946e-08	
320.000000	0.000221164	320.000000	0.000252879	320.000000	0.00025059	320.000000	0.000250369	320.000000	0.000252809	320.000000	6.98022e-08	
330.000000	0.000217539	330.000000	0.000248711	330.000000	0.000246444	330.000000	0.00024623	330.000000	0.000248644	330.000000	6.7832e-08	
340.000000	0.00021412	340.000000	0.000244787	340.000000	0.000242546	340.000000	0.000242335	340.000000	0.000244721	340.000000	6.59735e-08	
350.000000	0.00021089	350.000000	0.000241086	350.000000	0.000238871	350.000000	0.000238663	350.000000	0.000241022	350.000000	6.42174e-08	
360.000000	0.000207834	360.000000	0.00023759	360.000000	0.000235402	360.000000	0.000235198	360.000000	0.000237528	360.000000	6.25553e-08	
370.000000	0.000204939	370.000000	0.000234283	370.000000	0.000232101	370.000000	0.0002319 	370.000000	0.000234222	370.000000	6.09798e-08	
380.000000	0.000202192	380.000000	0.000231151	380.000000	0.000228976	380.000000	0.000228778	380.000000	0.000231091	380.000000	5.94843e-08	
390.000000	0.000199583	390.000000	0.00022818	390.000000	0.000226013	390.000000	0.000225819	390.000000	0.000228122	390.000000	5.80626e-08	
400.000000	0.000197102	400.000000	0.000225358	400.000000	0.000223202	400.000000	0.00022301	400.000000	0.000225302	400.000000	5.67095e-08	
410.000000	0.00019474	410.000000	0.000222676	410.000000	0.00022053	410.000000	0.000220341	410.000000	0.000222621	410.000000	5.542e-08 	
420.000000	0.000192489	420.000000	0.000220123	420.000000	0.000217989	420.000000	0.000217803	420.000000	0.000220069	420.000000	5.41898e-08	
430.000000	0.000190342	430.000000	0.000217691	430.000000	0.000215569	430.000000	0.000215385	430.000000	0.000217638	430.000000	5.30147e-08	
440.000000	0.000188291	440.000000	0.000215372	440.000000	0.00021326	440.000000	0.000213081	440.000000	0.00021532	440.000000	5.18911e-08	
450.000000	0.000186331	450.000000	0.000213158	450.000000	0.00021106	450.000000	0.000210882	450.000000	0.000213107	450.000000	5.08156e-08	
460.000000	0.000184456	460.000000	0.000211042	460.000000	0.000208966	460.000000	0.000208783	460.000000	0.000210992	460.000000	4.97852e-08	
470.000000	0.000182661	470.000000	0.000209019	470.000000	0.000206968	470.000000	0.000206776	470.000000	0.000208971	470.000000	4.87972e-08	
480.000000	0.000180941	480.000000	0.000207084	480.000000	0.000205053	480.000000	0.000204857	480.000000	0.000207036	480.000000	4.78488e-08	
490.000000	0.000179292	490.000000	0.000205229	490.000000	0.000203214	490.000000	0.000203019	490.000000	0.000205183	490.000000	4.69377e-08	
500.000000	0.00017771	500.000000	0.000203452	500.000000	0.00020145	500.000000	0.000201258	500.000000	0.000203406	500.000000	4.60618e-08	
520.000000	0.000174731	520.000000	0.000200112	520.000000	0.000198138	520.000000	0.000197951	520.000000	0.000200068	520.000000	4.44076e-08	
540.000000	0.000171978	540.000000	0.000197031	540.000000	0.000195086	540.000000	0.000194903	540.000000	0.000196988	540.000000	4.28715e-08	
560.000000	0.000169428	560.000000	0.000194183	560.000000	0.000192266	560.000000	0.000192086	560.000000	0.000194141	560.000000	4.14414e-08	
580.000000	0.00016706	580.000000	0.000191543	580.000000	0.000189654	580.000000	0.000189477	580.000000	0.000191503	580.000000	4.01065e-08	
600.000000	0.000164858	600.000000	0.000189092	600.000000	0.00018723	600.000000	0.000187055	600.000000	0.000189053	600.000000	3.88575e-08	
620.000000	0.000162806	620.000000	0.000186812	620.000000	0.000184975	620.000000	0.000184803	620.000000	0.000186774	620.000000	3.76863e-08	
640.000000	0.000160891	640.000000	0.000184687	640.000000	0.000182874	640.000000	0.000182704	640.000000	0.00018465	640.000000	3.65858e-08	
660.000000	0.000159102	660.000000	0.000182703	660.000000	0.000180912	660.000000	0.000180745	660.000000	0.000182667	660.000000	3.55497e-08	
680.000000	0.000157427	680.000000	0.000180849	680.000000	0.000179077	680.000000	0.000178913	680.000000	0.000180814	680.000000	3.45724e-08	
700.000000	0.000155857	700.000000	0.000179113	700.000000	0.000177363	700.000000	0.000177198	700.000000	0.000179079	700.000000	3.3649e-08	
720.000000	0.000154384	720.000000	0.000177486	720.000000	0.000175762	720.000000	0.00017559	720.000000	0.000177453	720.000000	3.27752e-08	
