Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
41.000000	0.00322984	41.000000	0.00304938	41.000000	0.00301044	41.000000	0.00300896	41.000000	0.00304805	41.000000	1.33428e-06	
44.000000	0.00305254	44.000000	0.00288393	44.000000	0.00284882	44.000000	0.00284747	44.000000	0.00288268	44.000000	1.25119e-06	
47.000000	0.00289632	47.000000	0.00273793	47.000000	0.0027061 	47.000000	0.00270482	47.000000	0.00273675	47.000000	1.17822e-06	
50.000000	0.00275757	50.000000	0.0026081 	50.000000	0.00257905	50.000000	0.00257784	50.000000	0.00260698	50.000000	1.11361e-06	
55.000000	0.0025577 	55.000000	0.00242089	55.000000	0.00239562	55.000000	0.00239451	55.000000	0.00241987	55.000000	1.02089e-06	
60.000000	0.00238896	60.000000	0.00226271	60.000000	0.00224044	60.000000	0.00223934	60.000000	0.00226176	60.000000	9.42937e-07	
65.000000	0.00224445	65.000000	0.00212721	65.000000	0.00210751	65.000000	0.00210622	65.000000	0.00212633	65.000000	8.76453e-07	
70.000000	0.00211922	70.000000	0.00200979	70.000000	0.00199187	70.000000	0.00199069	70.000000	0.00200897	70.000000	8.19051e-07	
75.000000	0.00200957	75.000000	0.00190702	75.000000	0.00189056	75.000000	0.00188944	75.000000	0.00190626	75.000000	7.68967e-07	
80.000000	0.00191272	80.000000	0.0018163 	80.000000	0.00180099	80.000000	0.00179994	80.000000	0.00181558	80.000000	7.24869e-07	
85.000000	0.00182649	85.000000	0.0017356 	85.000000	0.00172123	85.000000	0.00172024	85.000000	0.00173491	85.000000	6.85734e-07	
90.000000	0.00174919	90.000000	0.00166333	90.000000	0.00164974	90.000000	0.00164878	90.000000	0.00166268	90.000000	6.50758e-07	
95.000000	0.00167947	95.000000	0.00159822	95.000000	0.00158548	95.000000	0.00158434	95.000000	0.0015976 	95.000000	6.19303e-07	
